bldgid,x,y,bldgnotes,label,facility,city,address,commonname,type1,type2,type3,parentorg,dtopen,dtclose,ca2,use,editdate,zip,ward,tract,area_numbe,community,insurances_accepted,,latitude,longitude
34142,1168427.011,1940926.452,                                                                                                                                                                                                                                                              ,Kindred- Lakeshore                                                                                                                                                                                                                                            ,Kindred Hospital - Chicago Lakeshore                                                                                                                                                                                                                          ,Chicago                                                                                                                                                                                                                                                       ,6130 N. Sheridan                                                                                                                                                                                                                                              ,Kindred Hospital - Chicago Lakeshore                                                                                                                                                                                                                          ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Kindred Healthcare                                                                                                                                                                                                                                            ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,77,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60660,48,30100,77,EDGEWATER                                                                       ,"Blue Cross Blue Shield, Aetna, Cigna, Humana",,17.45507338,-80.71537831
262155,1171002.449,1916046.01,                                                                                                                                                                                                                                                              ,Children's                                                                                                                                                                                                                                                    ,Children's Memorial Hospital                                                                                                                                                                                                                                  ,Chicago                                                                                                                                                                                                                                                       ,2300 Children's Plaza                                                                                                                                                                                                                                         ,Children's Memorial Hospital                                                                                                                                                                                                                                  ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,Pediatrics                                                                                                                                                                                                                                                    ,Children's Memorial Hospital                                                                                                                                                                                                                                  ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,7,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60614,43,71200,7,LINCOLN PARK                                                                    ,"UnitedHealthcare, Aetna, Cigna, Humana",,17.23077507,-80.6989368
533051,1175254.006,1862670.662,                                                                                                                                                                                                                                                              ,St Bernard                                                                                                                                                                                                                                                    ,St Bernard Hospital                                                                                                                                                                                                                                           ,Chicago                                                                                                                                                                                                                                                       ,326 W. 64th Street                                                                                                                                                                                                                                            ,St. Bernard Hospital                                                                                                                                                                                                                                          ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,St. Bernard Hospital                                                                                                                                                                                                                                          ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,68,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60621,20,680900,68,ENGLEWOOD                                                                       ,"Aetna, Cigna, Humana",,16.74999287,-80.67535165
565454,1159091.55,1859131.693,                                                                                                                                                                                                                                                              ,Holy Cross                                                                                                                                                                                                                                                    ,Holy Cross Hospital                                                                                                                                                                                                                                           ,Chicago                                                                                                                                                                                                                                                       ,2701 W. 68th Street                                                                                                                                                                                                                                           ,Holy Cross Hospital                                                                                                                                                                                                                                           ,HOSPITAL                                                                                                                                                                                                                                                      ,RELIGIOUS                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Holy Cross Hospital                                                                                                                                                                                                                                           ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,66,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60629,15,660900,66,CHICAGO LAWN                                                                    ,"UnitedHealthcare, Aetna, Cigna, Humana",,16.72277223,-80.82711701
220136,1169801.369,1920306.523,                                                                                                                                                                                                                                                              ,IL Masonic                                                                                                                                                                                                                                                    ,Advocate Illinois Masonic Medical Center                                                                                                                                                                                                                      ,Chicago                                                                                                                                                                                                                                                       ,836 W. Wellington                                                                                                                                                                                                                                             ,Advocate Illinois Masonic Med Ctr                                                                                                                                                                                                                             ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Advocate Health Care                                                                                                                                                                                                                                          ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,6,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60657,44,63000,6,LAKE VIEW                                                                       ,Humana,,17.26940674,-80.70886365
231905,1173643.692,1919212.347,                                                                                                                                                                                                                                                              ,St Joseph                                                                                                                                                                                                                                                     ,Saint Joseph Hospital                                                                                                                                                                                                                                         ,Chicago                                                                                                                                                                                                                                                       ,2900 N. Lake Shore Drive                                                                                                                                                                                                                                      ,St. Joseph Hospital                                                                                                                                                                                                                                           ,HOSPITAL                                                                                                                                                                                                                                                      ,RELIGIOUS                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Resurrection Health Care                                                                                                                                                                                                                                      ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,6,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60657,44,63300,6,LAKE VIEW                                                                       ,"Blue Cross Blue Shield, UnitedHealthcare, Aetna, Cigna, Humana",,17.25844365,-80.67327116
768203,1177694.542,1831236.566,                                                                                                                                                                                                                                                              ,Roseland                                                                                                                                                                                                                                                      ,Roseland Community Hospital                                                                                                                                                                                                                                   ,Chicago                                                                                                                                                                                                                                                       ,45 W. 111th Street                                                                                                                                                                                                                                            ,Roseland Community Hospital                                                                                                                                                                                                                                   ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Roseland Community Hospital                                                                                                                                                                                                                                   ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,49,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60628,34,491300,49,ROSELAND                                                                        ,"UnitedHealthcare, Aetna, Cigna, Humana",,16.46687963,-80.66190066
688580,1193491.059,1844003.401,                                                                                                                                                                                                                                                              ,Trinity                                                                                                                                                                                                                                                       ,Advocate Trinity Hospital                                                                                                                                                                                                                                     ,Chicago                                                                                                                                                                                                                                                       ,2320 E.  93rd Street                                                                                                                                                                                                                                          ,Advocate Trinity Hospital                                                                                                                                                                                                                                     ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Advocate Health Care                                                                                                                                                                                                                                          ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,48,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60617,7,480400,48,CALUMET HEIGHTS                                                                 ,"Aetna, Cigna, Humana",,16.57702845,-80.51099859
616860,1192764.496,1852230.406,                                                                                                                                                                                                                                                              ,South Shore                                                                                                                                                                                                                                                   ,South Shore Hospital                                                                                                                                                                                                                                          ,Chicago                                                                                                                                                                                                                                                       ,8012 S. Crandon                                                                                                                                                                                                                                               ,South Shore Hospital                                                                                                                                                                                                                                          ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,South Shore Hospital                                                                                                                                                                                                                                          ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,46,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60617,8,460500,46,SOUTH CHICAGO                                                                   ,"Aetna, Cigna, Humana",,16.65113297,-80.51527507
535850,1192080.038,1862386.226,                                                                                                                                                                                                                                                              ,La Rabida                                                                                                                                                                                                                                                     ,La Rabida Children's Hospital                                                                                                                                                                                                                                 ,Chicago                                                                                                                                                                                                                                                       ,East 65th St. at Lake Michigan                                                                                                                                                                                                                                ,La Rabida Hospital                                                                                                                                                                                                                                            ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,Pediatrics                                                                                                                                                                                                                                                    ,La Rabida Children's Hospital                                                                                                                                                                                                                                 ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,42,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60649,5,421100,42,WOODLAWN                                                                        ,"Blue Cross Blue Shield, UnitedHealthcare, Aetna, Cigna, Humana",,16.74255002,-80.51856351
