street,crime_count,street_name,latitude,longitude
BETTY GLOYD DRIVE,1,,41.87559080237695,-87.62078571387181
E 100 PL,121,,41.88273987883623,-87.62782683031607
E 100 ST,151,,41.87122037280885,-87.63668010959329
E 100TH PL,1829,,41.86926167224337,-87.6224764770845
E 100TH ST,2032,,41.880122300234866,-87.62563854844409
E 100th pl,1,,41.86851168988592,-87.62040180295676
E 101 PL,15,,41.88474885281601,-87.63555321778644
E 101 ST,111,,41.871736499344145,-87.63613190980294
E 101ST PL,505,,41.874184844859194,-87.62930487136735
E 101ST ST,1553,,41.87673890037284,-87.63397541719604
E 102 PL,32,,41.88033705789445,-87.63701012278696
E 102 ST,55,,41.87394289297071,-87.63247276313413
E 102ND PL,791,,41.877221399684345,-87.62409648077214
E 102ND ST,930,,41.87209347564317,-87.62951531123173
E 103 PL,50,,41.87994829137725,-87.6388709917456
E 103 ST,549,,41.88025089703803,-87.63638951752625
E 103RD PL,736,,41.86940103185971,-87.62082228925493
E 103RD ST,7596,,41.887412640661495,-87.62363205303767
E 103rd St,1,,41.87419227538347,-87.63784655771988
E 104 PL,45,,41.88178466053024,-87.63099695012521
E 104 ST,144,,41.8705407646969,-87.62989646179778
E 104TH PL,482,,41.86878777042231,-87.62161359195842
E 104TH ST,2525,,41.873275599632,-87.62654955431293
E 104th Pl,1,,41.87433422152179,-87.62939863957645
E 105 PL,37,,41.87903420558687,-87.63610291088949
E 105 ST,77,,41.887491692555294,-87.62429734353277
E 105TH PL,507,,41.886889978831285,-87.62190345299145
E 105TH ST,1213,,41.88005799957622,-87.62136251529954
E 106 ST,298,,41.86986985004104,-87.63588034275162
E 106TH ST,2791,,41.86900454577822,-87.63329339338473
E 106th St,1,,41.875873545793795,-87.63437301936453
E 107 ST,160,,41.884674750183045,-87.63266493346613
E 107TH ST,2016,,41.87371869019375,-87.62894607833684
E 107th St,1,,41.8709184844995,-87.62375606038492
E 108 ST,32,,41.8695910128736,-87.62006226126799
E 108TH ST,509,,41.88354489538594,-87.63582568636932
E 109 ST,45,,41.86821044234247,-87.62349077143091
E 109TH ST,931,,41.88223714687695,-87.62521985663918
E 11 ST,6,,41.88352540693372,-87.63831910696533
E 110 PL,37,,41.875269314570886,-87.6374826188095
E 110 ST,43,,41.885362068517516,-87.62733403746346
E 110TH PL,660,,41.87471796049706,-87.63852883299428
E 110TH ST,510,,41.874319646434316,-87.63329633355947
E 111 PL,11,,41.88269212356676,-87.6270488505729
E 111 ST,369,,41.88584425485153,-87.63035570149677
E 111TH PL,302,,41.87049188491877,-87.62553510425555
E 111TH ST,5001,,41.88331570097234,-87.62857445604861
E 111th St,2,,41.8835193435991,-87.62992408807271
E 112 PL,14,,41.878554656587646,-87.63124917963283
E 112 ST,90,,41.86860838253489,-87.63764217146014
E 112TH PL,303,,41.86872858371374,-87.62707179177472
E 112TH ST,1072,,41.87438711962153,-87.62962858617671
E 113 PL,15,,41.886251329478526,-87.63481415541703
E 113 ST,141,,41.87630765846072,-87.62468897722914
E 113 STREET,1,,41.87267596330984,-87.63826040180342
E 113TH PL,347,,41.87389502905828,-87.63657557425492
E 113TH ST,1307,,41.88669395304685,-87.62363759240871
E 114 PL,18,,41.88076807513021,-87.62237078819625
E 114 ST,160,,41.88417344153799,-87.63606859882228
E 114TH PL,412,,41.8859511799698,-87.62901315516169
E 114TH ST,2044,,41.88424880310328,-87.62187817400154
E 115 ST,281,,41.87446006949944,-87.63759896150945
E 115TH AVE,1,,41.87265870325084,-87.63125784422748
E 115TH ST,2407,,41.884460295318455,-87.62258538833487
E 116 ST,61,,41.868239042610625,-87.62958505394845
E 116TH ST,764,,41.876448220062976,-87.63535784379059
E 116Th St,1,,41.870497307346675,-87.63304769657194
